file,class,method,variable,usage
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI,initGUI/0,dCon,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI,initGUI/0,Ad,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI,initGUI/0,HP,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI,initGUI/0,logo,2
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI,initGUI/0,sIn,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI,initGUI/0,fr,13
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI,initGUI/0,DB,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI,initGUI/0,sUp,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI,initGUI/0,hnd,8
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignInGUI.java,SignInGUI,initSignInGUI/0,welcomeLbl,4
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignInGUI.java,SignInGUI,initSignInGUI/0,signInPnl,11
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignInGUI.java,SignInGUI,initSignInGUI/0,pass,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignInGUI.java,SignInGUI,initSignInGUI/0,signUpBtn,9
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignInGUI.java,SignInGUI,initSignInGUI/0,header,7
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignInGUI.java,SignInGUI,initSignInGUI/0,CNIC,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignInGUI.java,SignInGUI,initSignInGUI/0,title,5
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignInGUI.java,SignInGUI,initSignInGUI/0,passLbl,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignInGUI.java,SignInGUI,initSignInGUI/0,signInBtn,6
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignInGUI.java,SignInGUI,initSignInGUI/0,CNICLbl,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,cnicLbl,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,signUpPnl,15
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,userNameLbl,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,pass,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,cnic,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,title,5
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,userName,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,passLbl,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,welcomeLbl,4
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,phone,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,signUpBtn,6
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,header,7
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,phoneLbl,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/SignUpGUI.java,SignUpGUI,initSignUpGUI/0,signInBtn,9
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,initGUI/0,dCon,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,initGUI/0,dashboardPnl,9
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,initGUI/0,scrollPane,2
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,initGUI/0,userNameLbl,8
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,initGUI/0,innerPanel,4
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,initGUI/0,uName,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,initGUI/0,lOutBtn,9
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,initGUI/0,homeBtn,9
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,initGUI/0,pswdBtn,9
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,initGUI/0,hnd,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,"setData/2[java.lang.String,java.lang.String]",uID,1
