file,class,method,variable,usage
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Driver.java,Driver,main/1[java.lang.String[]],args,0
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Driver.java,Driver,main/1[java.lang.String[]],g,0
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,"setData/2[java.lang.String,java.lang.String]",uName,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,"setData/2[java.lang.String,java.lang.String]",ID,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,Dashboard/1[MainGUI.ButtonHandler],h,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,updateDashboard/0,Schedual_id,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,updateDashboard/0,b,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,updateDashboard/0,img,2
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,updateDashboard/0,flag,2
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,updateDashboard/0,i,26
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,updateDashboard/0,movie_name,4
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,updateDashboard/0,n,8
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,updateDashboard/0,empty,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,updateDashboard/0,posX,5
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,updateDashboard/0,posY,5
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,updateDashboard/0,movie_pnl,11
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,updateDashboard/0,ex,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Dashboard.java,Dashboard,updateDashboard/0,movie_picture,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Scheduling.java,Scheduling,SchedulingInit/0,p,4
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Scheduling.java,Scheduling,SchedulingInit/0,datePanel,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Scheduling.java,Scheduling,SchedulingInit/0,model,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Scheduling.java,Scheduling$DateLabelFormatter,stringToValue/1[java.lang.String],text,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Scheduling.java,Scheduling$DateLabelFormatter,valueToString/1[java.lang.Object],value,2
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Scheduling.java,Scheduling$DateLabelFormatter,valueToString/1[java.lang.Object],cal,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,updateDashboard/0,Schedual_id,7
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,updateDashboard/0,b,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,updateDashboard/0,img,5
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,updateDashboard/0,flag,5
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,updateDashboard/0,schedual_Lbl,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,updateDashboard/0,i,53
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,updateDashboard/0,movie_name,9
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,updateDashboard/0,n,15
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,updateDashboard/0,posX,11
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,updateDashboard/0,posY,15
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,updateDashboard/0,movie_pnl,23
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,updateDashboard/0,ex,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,updateDashboard/0,movie_picture,7
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,updateDashboard/0,allMoviesLbl,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,setData/1[java.lang.String],uName,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/Admin.java,Admin,Admin/1[MainGUI.ButtonHandler],h,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,dashboard_movie_Details_function/1[java.lang.String],date,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,dashboard_movie_Details_function/1[java.lang.String],rs,6
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,dashboard_movie_Details_function/1[java.lang.String],b,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,dashboard_movie_Details_function/1[java.lang.String],img,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,dashboard_movie_Details_function/1[java.lang.String],ex,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,dashboard_movie_Details_function/1[java.lang.String],movie_picture,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,dashboard_movie_Details_function/1[java.lang.String],rate,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,dashboard_movie_Details_function/1[java.lang.String],cancleBookBtn,6
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,dashboard_movie_Details_function/1[java.lang.String],movie_name,4
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,dashboard_movie_Details_function/1[java.lang.String],time,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,dashboard_movie_Details_function/1[java.lang.String],sid,2
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,movie_basic_Details_function/1[java.lang.String],rs,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,movie_basic_Details_function/1[java.lang.String],b,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,movie_basic_Details_function/1[java.lang.String],img,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,movie_basic_Details_function/1[java.lang.String],ex,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,movie_basic_Details_function/1[java.lang.String],movie_picture,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,movie_basic_Details_function/1[java.lang.String],scheduleBtn,6
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,movie_basic_Details_function/1[java.lang.String],editMovieBtn,6
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,movie_basic_Details_function/1[java.lang.String],movie_name,4
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,movie_basic_Details_function/1[java.lang.String],sid,2
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,movie_basic_Details_function/1[java.lang.String],deleteMovieBtn,6
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,mousePressed/1[java.awt.event.MouseEvent],e,0
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,mouseReleased/1[java.awt.event.MouseEvent],e,0
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,schedule_a_movie/1[java.lang.String],rs,6
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,schedule_a_movie/1[java.lang.String],b,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,schedule_a_movie/1[java.lang.String],img,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,schedule_a_movie/1[java.lang.String],ex,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,schedule_a_movie/1[java.lang.String],movie_picture,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,schedule_a_movie/1[java.lang.String],scheduleBtn,7
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,schedule_a_movie/1[java.lang.String],movie_name,4
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,schedule_a_movie/1[java.lang.String],sid,2
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,mouseEntered/1[java.awt.event.MouseEvent],temp,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,mouseEntered/1[java.awt.event.MouseEvent],e,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,mouseEntered/1[java.awt.event.MouseEvent],blackline,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,mouseExited/1[java.awt.event.MouseEvent],temp,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,mouseExited/1[java.awt.event.MouseEvent],e,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,homePage_movie_Details_function/1[java.lang.String],date,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,homePage_movie_Details_function/1[java.lang.String],rs,6
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,homePage_movie_Details_function/1[java.lang.String],b,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,homePage_movie_Details_function/1[java.lang.String],img,1
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,homePage_movie_Details_function/1[java.lang.String],ex,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,homePage_movie_Details_function/1[java.lang.String],movie_picture,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,homePage_movie_Details_function/1[java.lang.String],rate,3
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,homePage_movie_Details_function/1[java.lang.String],bookBtn,6
/home/x1/Desktop/ass/ass16/Cinema_Ticket_Booking_System-main/src/MainGUI.java,MainGUI$ButtonHandler,homePage_movie_Details_function/1[java.lang.String],movie_name,4
