file,class,method,variable,usage
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,getDataNodeAtPosition/1[int],internalLL,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,remove/1[int],internalLL,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,LLIndexList/1[interfases.LinkedList<T>],internalLL,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,size/0,internalLL,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,get/1[int],internalLL,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,"add/2[int,T]",internalLL,5
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,"set/2[int,T]",internalLL,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,add/1[T],internalLL,3
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,makeEmpty/0,length,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,getFirstNode/0,first,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,"addNodeAfter/2[interfases.Node<T>,interfases.Node<T>]",length,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,SLList/0,length,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,SLList/0,first,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,addFirstNode/1[interfases.Node<T>],length,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,addFirstNode/1[interfases.Node<T>],first,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,getNodeBefore/1[interfases.Node<T>],first,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,getLastNode/0,first,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,"addNodeBefore/2[interfases.Node<T>,interfases.Node<T>]",first,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,findNodePrevTo/1[interfases.Node<T>],first,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,length/0,length,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,destroy/0,first,5
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,removeNode/1[interfases.Node<T>],length,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,removeNode/1[interfases.Node<T>],first,3
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,addLastNode/1[interfases.Node<T>],length,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList,addLastNode/1[interfases.Node<T>],first,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,getLastNode/0,last,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,SLFLList/0,last,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,SLFLList/0,length,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,SLFLList/0,first,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,"addNodeAfter/2[interfases.Node<T>,interfases.Node<T>]",last,3
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,"addNodeAfter/2[interfases.Node<T>,interfases.Node<T>]",length,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,length/0,length,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,removeNode/1[interfases.Node<T>],last,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,removeNode/1[interfases.Node<T>],length,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,removeNode/1[interfases.Node<T>],first,3
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,"addNodeBefore/2[interfases.Node<T>,interfases.Node<T>]",first,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,getFirstNode/0,first,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,addFirstNode/1[interfases.Node<T>],last,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,addFirstNode/1[interfases.Node<T>],length,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,addFirstNode/1[interfases.Node<T>],first,3
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,getNodeAfter/1[interfases.Node<T>],last,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,getNodeAfter/1[interfases.Node<T>],length,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,findNodePrevTo/1[interfases.Node<T>],first,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,getNodeBefore/1[interfases.Node<T>],last,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,getNodeBefore/1[interfases.Node<T>],length,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,getNodeBefore/1[interfases.Node<T>],first,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,addLastNode/1[interfases.Node<T>],last,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,addLastNode/1[interfases.Node<T>],length,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLFLList.java,linkedLists.SLFLList,addLastNode/1[interfases.Node<T>],first,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList$ElementsIterator,next/0,nodesIter,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList$ElementsIterator,hasNext/0,nodesIter,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/linkedLists/SLList.java,linkedLists.SLList$ElementsIterator,remove/0,nodesIter,1
