file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/interfases/IndexList.java,interfases.IndexList,"set/2[int,T]",false,61,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/interfases/IndexList.java,interfases.IndexList,isEmpty/0,false,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/interfases/IndexList.java,interfases.IndexList,remove/1[int],false,48,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/interfases/IndexList.java,interfases.IndexList,add/1[T],false,27,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/interfases/IndexList.java,interfases.IndexList,get/1[int],false,36,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/interfases/IndexList.java,interfases.IndexList,"add/2[int,T]",false,17,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/interfases/IndexList.java,interfases.IndexList,size/0,false,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"listTester/2[java.lang.String,interfases.IndexList<java.lang.Integer>]",false,23,2,8,1,7,4,9,44,0,2,2,9,4,3,2,0,1,0,0,53,3,0,1,0,0,0,13,10,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,showList/1[interfases.IndexList<java.lang.Integer>],false,91,2,6,4,2,2,3,5,0,2,1,3,1,1,1,0,0,0,2,1,2,1,1,0,0,0,10,10,0,false
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showElement/2[interfases.IndexList<java.lang.Integer>,int]",false,77,1,2,1,1,2,3,8,0,0,2,3,0,0,0,0,1,0,2,0,0,1,1,0,0,0,6,10,0,false
