file,class,method,variable,usage
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/interfases/IndexList.java,interfases.IndexList,"set/2[int,T]",e,0
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/interfases/IndexList.java,interfases.IndexList,"set/2[int,T]",i,0
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/interfases/IndexList.java,interfases.IndexList,remove/1[int],i,0
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/interfases/IndexList.java,interfases.IndexList,add/1[T],e,0
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/interfases/IndexList.java,interfases.IndexList,get/1[int],i,0
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/interfases/IndexList.java,interfases.IndexList,"add/2[int,T]",e,0
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/interfases/IndexList.java,interfases.IndexList,"add/2[int,T]",i,0
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"listTester/2[java.lang.String,interfases.IndexList<java.lang.Integer>]",msg,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"listTester/2[java.lang.String,interfases.IndexList<java.lang.Integer>]",e,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"listTester/2[java.lang.String,interfases.IndexList<java.lang.Integer>]",i,3
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"listTester/2[java.lang.String,interfases.IndexList<java.lang.Integer>]",j,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"listTester/2[java.lang.String,interfases.IndexList<java.lang.Integer>]",list,34
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,showList/1[interfases.IndexList<java.lang.Integer>],lpindex,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,showList/1[interfases.IndexList<java.lang.Integer>],i,3
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,showList/1[interfases.IndexList<java.lang.Integer>],list,3
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showElement/2[interfases.IndexList<java.lang.Integer>,int]",e,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showElement/2[interfases.IndexList<java.lang.Integer>,int]",position,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showElement/2[interfases.IndexList<java.lang.Integer>,int]",list,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showListAfterReplacing/3[interfases.IndexList<java.lang.Integer>,int,java.lang.Integer]",etr,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showListAfterReplacing/3[interfases.IndexList<java.lang.Integer>,int,java.lang.Integer]",pos,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showListAfterReplacing/3[interfases.IndexList<java.lang.Integer>,int,java.lang.Integer]",e,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showListAfterReplacing/3[interfases.IndexList<java.lang.Integer>,int,java.lang.Integer]",list,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showListAfterReplacing/3[interfases.IndexList<java.lang.Integer>,int,java.lang.Integer]",element,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showListAfterAdding/3[interfases.IndexList<java.lang.Integer>,int,java.lang.Integer]",pos,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showListAfterAdding/3[interfases.IndexList<java.lang.Integer>,int,java.lang.Integer]",e,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showListAfterAdding/3[interfases.IndexList<java.lang.Integer>,int,java.lang.Integer]",list,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showListAfterAdding/3[interfases.IndexList<java.lang.Integer>,int,java.lang.Integer]",element,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,showSize/1[interfases.IndexList<java.lang.Integer>],list,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,main/1[java.lang.String[]],args,0
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showListAfterDeleting/2[interfases.IndexList<java.lang.Integer>,int]",etr,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showListAfterDeleting/2[interfases.IndexList<java.lang.Integer>,int]",pos,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showListAfterDeleting/2[interfases.IndexList<java.lang.Integer>,int]",e,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/test/java/IndexListTester.java,IndexListTester,"showListAfterDeleting/2[interfases.IndexList<java.lang.Integer>,int]",list,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,getDataNodeAtPosition/1[int],p,2
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,getDataNodeAtPosition/1[int],posIndex,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,getDataNodeAtPosition/1[int],target,3
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,remove/1[int],etr,1
/home/x1/Desktop/ass/ass16/Linked-Lists-Everywhere-master/src/main/java/indexlist/LLIndexList.java,indexlist.LLIndexList,remove/1[int],index,4
