file,class,method,variable,usage
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,toString/0,kdBarang,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setKdBarang/1[java.lang.Integer],kdBarang,5
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setKdBarang/1[java.lang.Integer],changeSupport,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,getKategori/0,kategori,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,getStok/0,stok,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setStok/1[int],changeSupport,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setStok/1[int],stok,5
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,getKdBarang/0,kdBarang,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,addPropertyChangeListener/1[java.beans.PropertyChangeListener],changeSupport,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,hashCode/0,kdBarang,2
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setHarga/1[float],harga,5
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setHarga/1[float],changeSupport,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,removePropertyChangeListener/1[java.beans.PropertyChangeListener],changeSupport,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,"Barang/5[java.lang.Integer,java.lang.String,java.lang.String,float,int]",harga,3
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,"Barang/5[java.lang.Integer,java.lang.String,java.lang.String,float,int]",kdBarang,3
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,"Barang/5[java.lang.Integer,java.lang.String,java.lang.String,float,int]",kategori,3
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,"Barang/5[java.lang.Integer,java.lang.String,java.lang.String,float,int]",namaBarang,3
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,"Barang/5[java.lang.Integer,java.lang.String,java.lang.String,float,int]",stok,3
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setKategori/1[java.lang.String],changeSupport,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setKategori/1[java.lang.String],kategori,5
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setNamaBarang/1[java.lang.String],changeSupport,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setNamaBarang/1[java.lang.String],namaBarang,5
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,equals/1[java.lang.Object],kdBarang,3
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,getHarga/0,harga,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,Barang/1[java.lang.Integer],kdBarang,3
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,getNamaBarang/0,namaBarang,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/ListBarang.java,teknoko.ListBarang$Anonymous3,"isCellEditable/2[int,int]",canEdit,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/cari_barang.java,teknoko.cari_barang,getHarga/0,harga,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/cari_barang.java,teknoko.cari_barang,getKd_nama/0,kd_nama,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/cari_barang.java,teknoko.cari_barang,"caribarang/3[java.lang.String,java.lang.String,java.lang.String]",kd_nama,3
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/cari_barang.java,teknoko.cari_barang,"caribarang/3[java.lang.String,java.lang.String,java.lang.String]",nama,3
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/cari_barang.java,teknoko.cari_barang,"caribarang/3[java.lang.String,java.lang.String,java.lang.String]",harga,3
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/cari_barang.java,teknoko.cari_barang,getNama/0,nama,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Pengiriman.java,teknoko.Pengiriman,txtCariKeyReleased/1[java.awt.event.KeyEvent],txtCari,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Pengiriman.java,teknoko.Pengiriman,tableCustMouseClicked/1[java.awt.event.MouseEvent],tableCust,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Pengiriman.java,teknoko.Pengiriman,tableCustMouseClicked/1[java.awt.event.MouseEvent],model,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Pengiriman.java,teknoko.Pengiriman,tableCustMouseClicked/1[java.awt.event.MouseEvent],txtIDTransaksi,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Pengiriman.java,teknoko.Pengiriman,btnHapusMouseClicked/1[java.awt.event.MouseEvent],txtCari,1
