file,class,method,variable,usage
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setKdBarang/1[java.lang.Integer],oldKdBarang,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setKdBarang/1[java.lang.Integer],kdBarang,4
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setStok/1[int],oldStok,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setStok/1[int],stok,4
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,addPropertyChangeListener/1[java.beans.PropertyChangeListener],listener,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,hashCode/0,hash,2
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setHarga/1[float],oldHarga,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setHarga/1[float],harga,4
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,removePropertyChangeListener/1[java.beans.PropertyChangeListener],listener,1
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,"Barang/5[java.lang.Integer,java.lang.String,java.lang.String,float,int]",harga,2
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,"Barang/5[java.lang.Integer,java.lang.String,java.lang.String,float,int]",kdBarang,2
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,"Barang/5[java.lang.Integer,java.lang.String,java.lang.String,float,int]",kategori,2
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,"Barang/5[java.lang.Integer,java.lang.String,java.lang.String,float,int]",namaBarang,2
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,"Barang/5[java.lang.Integer,java.lang.String,java.lang.String,float,int]",stok,2
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setKategori/1[java.lang.String],kategori,4
/home/x1/Desktop/ass/ass16/Teknoko-master/src/teknoko/Barang.java,teknoko.Barang,setKategori/1[java.lang.String],oldKategori,1
