file,class,method,variable,usage
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem$ClockBuilder,setPrice/1[int],price,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem$ClockBuilder,setWarrantyInMonths/1[int],warrantyInMonths,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem$ClockBuilder,setDateOfArrival/1[java.util.Date],dateOfArrival,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem$ClockBuilder,setTypeOfItem/1[java.lang.String],typeOfItem,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/singleton/Singleton4.java,creational.singleton.Singleton4,getInstance/0,obj,4
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableImpl.java,behavioral.observer.ObservableImpl,updateItem/1[behavioral.observer.Item],item,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableImpl.java,behavioral.observer.ObservableImpl,notifyObservers/0,item,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableImpl.java,behavioral.observer.ObservableImpl,notifyObservers/0,observers,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableImpl.java,behavioral.observer.ObservableImpl,remove/1[behavioral.observer.ObserverContract],observers,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableImpl.java,behavioral.observer.ObservableImpl,add/1[behavioral.observer.ObserverContract],observers,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableImpl.java,behavioral.observer.ObservableImpl,getItem/0,item,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/ComputerImpl.java,structural.decorator.ComputerImpl,"ComputerImpl/2[int,int]",ramSize,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/ComputerImpl.java,structural.decorator.ComputerImpl,"ComputerImpl/2[int,int]",graphicMemorySize,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/ComputerImpl.java,structural.decorator.ComputerImpl,getRamSize/0,ramSize,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/ComputerImpl.java,structural.decorator.ComputerImpl,getGraphicMemorySize/0,graphicMemorySize,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/proxy/DatabaseExecutorProxy.java,structural.proxy.DatabaseExecutorProxy,delete/0,isAdmin,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/proxy/DatabaseExecutorProxy.java,structural.proxy.DatabaseExecutorProxy,delete/0,databaseExecutorContract,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/proxy/DatabaseExecutorProxy.java,structural.proxy.DatabaseExecutorProxy,DatabaseExecutorProxy/1[java.lang.String],isAdmin,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/proxy/DatabaseExecutorProxy.java,structural.proxy.DatabaseExecutorProxy,DatabaseExecutorProxy/1[java.lang.String],databaseExecutorContract,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/proxy/DatabaseExecutorProxy.java,structural.proxy.DatabaseExecutorProxy,add/0,databaseExecutorContract,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/singleton/Singleton1.java,creational.singleton.Singleton1,getInstance/0,obj,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/singleton/Singleton3.java,creational.singleton.Singleton3,getInstance/0,obj,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/singleton/Singleton2.java,creational.singleton.Singleton2,getInstance/0,obj,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/adapter/WebInterfaceAdapter.java,structural.adapter.WebInterfaceAdapter,get/0,oldWebInterface,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/adapter/WebInterfaceAdapter.java,structural.adapter.WebInterfaceAdapter,select/0,oldWebInterface,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/adapter/WebInterfaceAdapter.java,structural.adapter.WebInterfaceAdapter,WebInterfaceAdapter/1[structural.adapter.OldWebInterface],oldWebInterface,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/Vehicle.java,creational.builder.Vehicle,getAirbags/0,airbags,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/Vehicle.java,creational.builder.Vehicle,getWheel/0,wheel,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/Vehicle.java,creational.builder.Vehicle,getEngine/0,engine,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/Vehicle.java,creational.builder.Vehicle,Vehicle/1[creational.builder.Vehicle.VehicleBuilder],engine,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/Vehicle.java,creational.builder.Vehicle,Vehicle/1[creational.builder.Vehicle.VehicleBuilder],wheel,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/Vehicle.java,creational.builder.Vehicle,Vehicle/1[creational.builder.Vehicle.VehicleBuilder],airbags,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/ServerComputerDecorator.java,structural.decorator.ServerComputerDecorator,ServerComputerDecorator/1[structural.decorator.ComputerInterface],computerInterface,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/ServerComputerDecorator.java,structural.decorator.ServerComputerDecorator,getRamSize/0,computerInterface,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/ServerComputerDecorator.java,structural.decorator.ServerComputerDecorator,process/0,computerInterface,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/ServerComputerDecorator.java,structural.decorator.ServerComputerDecorator,getGraphicMemorySize/0,computerInterface,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/Item.java,behavioral.observer.Item,setPrice/1[int],price,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/Item.java,behavioral.observer.Item,getPrice/0,price,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/Item.java,behavioral.observer.Item,setName/1[java.lang.String],name,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/Item.java,behavioral.observer.Item,"Item/2[int,java.lang.String]",price,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/Item.java,behavioral.observer.Item,"Item/2[int,java.lang.String]",name,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/Item.java,behavioral.observer.Item,getName/0,name,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem,ClockStationaryItem/1[behavioral.visitor.ClockStationaryItem.ClockBuilder],dateOfArrival,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem,ClockStationaryItem/1[behavioral.visitor.ClockStationaryItem.ClockBuilder],typeOfItem,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem,ClockStationaryItem/1[behavioral.visitor.ClockStationaryItem.ClockBuilder],price,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem,ClockStationaryItem/1[behavioral.visitor.ClockStationaryItem.ClockBuilder],warrantyInMonths,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem,getWarrantyInMonths/0,warrantyInMonths,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem,getDateOfArrival/0,dateOfArrival,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem,getTypeOfItem/0,typeOfItem,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem,getPrice/0,price,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/Vehicle.java,creational.builder.Vehicle$VehicleBuilder,"VehicleBuilder/2[java.lang.String,int]",engine,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/Vehicle.java,creational.builder.Vehicle$VehicleBuilder,"VehicleBuilder/2[java.lang.String,int]",wheel,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/Vehicle.java,creational.builder.Vehicle$VehicleBuilder,setAirbags/1[int],airbags,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWorkImpl.java,creational.prototype.HomeWorkImpl,copyHomeWork/1[creational.prototype.HomeWork],homeWork,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWorkImpl.java,creational.prototype.HomeWorkImpl,"HomeWorkImpl/2[int,java.lang.String]",homeWork,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWorkImpl.java,creational.prototype.HomeWorkImpl,"HomeWorkImpl/2[int,java.lang.String]",id,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWorkImpl.java,creational.prototype.HomeWorkImpl,setId/1[int],id,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWorkImpl.java,creational.prototype.HomeWorkImpl,getHomeWork/0,homeWork,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWorkImpl.java,creational.prototype.HomeWorkImpl,getId/0,id,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWorkImpl.java,creational.prototype.HomeWorkImpl,"doHomeWork/2[int,java.lang.String]",homeWork,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWorkImpl.java,creational.prototype.HomeWorkImpl,"doHomeWork/2[int,java.lang.String]",id,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/BookStationaryItem.java,behavioral.visitor.BookStationaryItem,getPrice/0,price,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/BookStationaryItem.java,behavioral.visitor.BookStationaryItem,getDateOfArrival/0,dateOfArrival,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/BookStationaryItem.java,behavioral.visitor.BookStationaryItem,BookStationaryItem/1[behavioral.visitor.BookStationaryItem.BookBuilder],dateOfArrival,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/BookStationaryItem.java,behavioral.visitor.BookStationaryItem,BookStationaryItem/1[behavioral.visitor.BookStationaryItem.BookBuilder],typeOfItem,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/BookStationaryItem.java,behavioral.visitor.BookStationaryItem,BookStationaryItem/1[behavioral.visitor.BookStationaryItem.BookBuilder],price,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/BookStationaryItem.java,behavioral.visitor.BookStationaryItem,BookStationaryItem/1[behavioral.visitor.BookStationaryItem.BookBuilder],warrantyInMonths,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/BookStationaryItem.java,behavioral.visitor.BookStationaryItem,getTypeOfItem/0,typeOfItem,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/BookStationaryItem.java,behavioral.visitor.BookStationaryItem,getWarrantyInMonths/0,warrantyInMonths,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/BookStationaryItem.java,behavioral.visitor.BookStationaryItem$BookBuilder,setWarrantyInMonths/1[int],warrantyInMonths,3
