file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/factory/MediaPlayerFactory.java,creational.factory.MediaPlayerFactory,getMediaPlayer/1[java.lang.String],false,6,3,3,1,2,3,1,9,3,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,8,1,0,false
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/template/DesktopAssembleMain.java,behavioral.template.DesktopAssembleMain,main/1[java.lang.String[]],false,5,3,3,0,3,1,2,7,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,9,0,false
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/adapter/WebInterfaceImpl.java,structural.adapter.WebInterfaceImpl,get/0,false,7,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/adapter/WebInterfaceImpl.java,structural.adapter.WebInterfaceImpl,select/0,false,12,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem$ClockBuilder,build/0,false,73,1,2,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem$ClockBuilder,setPrice/1[int],false,53,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem$ClockBuilder,setWarrantyInMonths/1[int],false,68,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem$ClockBuilder,setDateOfArrival/1[java.util.Date],false,63,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem$ClockBuilder,setTypeOfItem/1[java.lang.String],false,58,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/singleton/Singleton4.java,creational.singleton.Singleton4,getInstance/0,false,10,1,2,1,1,3,0,8,1,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,5,9,0,false
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/singleton/Singleton4.java,creational.singleton.Singleton4,Singleton4/0,true,7,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/stratergy/StrategyMain.java,behavioral.stratergy.StrategyMain,main/1[java.lang.String[]],false,4,9,9,0,9,1,4,16,0,6,1,4,0,0,0,0,0,0,2,0,6,0,0,0,0,0,19,9,0,false
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableImpl.java,behavioral.observer.ObservableImpl,updateItem/1[behavioral.observer.Item],false,32,2,1,0,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableImpl.java,behavioral.observer.ObservableImpl,notifyObservers/0,false,23,1,2,1,1,2,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableImpl.java,behavioral.observer.ObservableImpl,remove/1[behavioral.observer.ObserverContract],false,17,1,0,0,0,2,2,3,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,1,0,false
