file,class,method,variable,usage
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/factory/MediaPlayerFactory.java,creational.factory.MediaPlayerFactory,getMediaPlayer/1[java.lang.String],mediaPlayerType,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/template/DesktopAssembleMain.java,behavioral.template.DesktopAssembleMain,main/1[java.lang.String[]],args,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/template/DesktopAssembleMain.java,behavioral.template.DesktopAssembleMain,main/1[java.lang.String[]],nonGamingDesktopAssemble,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/template/DesktopAssembleMain.java,behavioral.template.DesktopAssembleMain,main/1[java.lang.String[]],gamingDesktopAssemble,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem$ClockBuilder,setPrice/1[int],price,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem$ClockBuilder,setWarrantyInMonths/1[int],warrantyInMonths,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem$ClockBuilder,setDateOfArrival/1[java.util.Date],dateOfArrival,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem$ClockBuilder,setTypeOfItem/1[java.lang.String],typeOfItem,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/stratergy/StrategyMain.java,behavioral.stratergy.StrategyMain,main/1[java.lang.String[]],args,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/stratergy/StrategyMain.java,behavioral.stratergy.StrategyMain,main/1[java.lang.String[]],mountainDuck,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/stratergy/StrategyMain.java,behavioral.stratergy.StrategyMain,main/1[java.lang.String[]],canFlyBehaviour,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/stratergy/StrategyMain.java,behavioral.stratergy.StrategyMain,main/1[java.lang.String[]],cannotFlyBehaviour,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/stratergy/StrategyMain.java,behavioral.stratergy.StrategyMain,main/1[java.lang.String[]],cityDuck,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/stratergy/StrategyMain.java,behavioral.stratergy.StrategyMain,main/1[java.lang.String[]],quietQuackBehaviour,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/stratergy/StrategyMain.java,behavioral.stratergy.StrategyMain,main/1[java.lang.String[]],loudQuackBehavior,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableImpl.java,behavioral.observer.ObservableImpl,updateItem/1[behavioral.observer.Item],item,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableImpl.java,behavioral.observer.ObservableImpl,notifyObservers/0,observerContract,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableImpl.java,behavioral.observer.ObservableImpl,remove/1[behavioral.observer.ObserverContract],observer,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableImpl.java,behavioral.observer.ObservableImpl,add/1[behavioral.observer.ObserverContract],observer,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/ComputerImpl.java,structural.decorator.ComputerImpl,"ComputerImpl/2[int,int]",ramSize,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/ComputerImpl.java,structural.decorator.ComputerImpl,"ComputerImpl/2[int,int]",graphicMemorySize,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/proxy/DatabaseExecutorProxy.java,structural.proxy.DatabaseExecutorProxy,DatabaseExecutorProxy/1[java.lang.String],level,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableContract.java,behavioral.observer.ObservableContract,remove/1[behavioral.observer.ObserverContract],observer,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableContract.java,behavioral.observer.ObservableContract,updateItem/1[behavioral.observer.Item],item,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObservableContract.java,behavioral.observer.ObservableContract,add/1[behavioral.observer.ObserverContract],observer,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/adapter/WebInterfaceAdapter.java,structural.adapter.WebInterfaceAdapter,WebInterfaceAdapter/1[structural.adapter.OldWebInterface],oldWebInterface,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/BuilderPatternExample.java,creational.builder.BuilderPatternExample,main/1[java.lang.String[]],args,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/BuilderPatternExample.java,creational.builder.BuilderPatternExample,main/1[java.lang.String[]],car,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/BuilderPatternExample.java,creational.builder.BuilderPatternExample,main/1[java.lang.String[]],bike,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/stratergy/CityDuck.java,behavioral.stratergy.CityDuck,"CityDuck/2[behavioral.stratergy.QuackBehavior,behavioral.stratergy.FlyBehaviour]",flyBehaviour,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/stratergy/CityDuck.java,behavioral.stratergy.CityDuck,"CityDuck/2[behavioral.stratergy.QuackBehavior,behavioral.stratergy.FlyBehaviour]",quackBehavior,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/facade/Customer.java,structural.facade.Customer,main/1[java.lang.String[]],args,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/facade/Customer.java,structural.facade.Customer,main/1[java.lang.String[]],steward,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/Vehicle.java,creational.builder.Vehicle,Vehicle/1[creational.builder.Vehicle.VehicleBuilder],builder,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/decorator/ServerComputerDecorator.java,structural.decorator.ServerComputerDecorator,ServerComputerDecorator/1[structural.decorator.ComputerInterface],computerInterface,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/PrototypeMain.java,creational.prototype.PrototypeMain,main/1[java.lang.String[]],args,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/PrototypeMain.java,creational.prototype.PrototypeMain,main/1[java.lang.String[]],homeWork,4
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/PrototypeMain.java,creational.prototype.PrototypeMain,main/1[java.lang.String[]],homeWorkCopied,3
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/adapter/WebInterfaceMain.java,structural.adapter.WebInterfaceMain,main/1[java.lang.String[]],args,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/adapter/WebInterfaceMain.java,structural.adapter.WebInterfaceMain,main/1[java.lang.String[]],webInterfaceAdapter,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/adapter/WebInterfaceMain.java,structural.adapter.WebInterfaceMain,main/1[java.lang.String[]],webInterface,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/Item.java,behavioral.observer.Item,setPrice/1[int],price,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/Item.java,behavioral.observer.Item,setName/1[java.lang.String],name,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/Item.java,behavioral.observer.Item,"Item/2[int,java.lang.String]",price,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/Item.java,behavioral.observer.Item,"Item/2[int,java.lang.String]",name,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/stratergy/MountainDuck.java,behavioral.stratergy.MountainDuck,"MountainDuck/2[behavioral.stratergy.QuackBehavior,behavioral.stratergy.FlyBehaviour]",flyBehaviour,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/stratergy/MountainDuck.java,behavioral.stratergy.MountainDuck,"MountainDuck/2[behavioral.stratergy.QuackBehavior,behavioral.stratergy.FlyBehaviour]",quackBehavior,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem,ClockStationaryItem/1[behavioral.visitor.ClockStationaryItem.ClockBuilder],builder,4
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/visitor/ClockStationaryItem.java,behavioral.visitor.ClockStationaryItem,accept/1[behavioral.visitor.ShoppingCartVisitor],shoppingCartVisitor,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/proxy/DatabaseExecutorMain.java,structural.proxy.DatabaseExecutorMain,main/1[java.lang.String[]],args,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/structural/proxy/DatabaseExecutorMain.java,structural.proxy.DatabaseExecutorMain,main/1[java.lang.String[]],databaseExecutorContract,5
/home/x1/Desktop/ass/ass16/design-patterns-master/src/behavioral/observer/ObserverContract.java,behavioral.observer.ObserverContract,update/1[behavioral.observer.Item],item,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/singleton/SingletonMain.java,creational.singleton.SingletonMain,main/1[java.lang.String[]],args,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/singleton/SingletonMain.java,creational.singleton.SingletonMain,main/1[java.lang.String[]],singletonInstance1,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/singleton/SingletonMain.java,creational.singleton.SingletonMain,main/1[java.lang.String[]],singletonInstance2,1
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWork.java,creational.prototype.HomeWork,copyHomeWork/1[creational.prototype.HomeWork],homeWork,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWork.java,creational.prototype.HomeWork,setId/1[int],id,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWork.java,creational.prototype.HomeWork,"doHomeWork/2[int,java.lang.String]",homeWork,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWork.java,creational.prototype.HomeWork,"doHomeWork/2[int,java.lang.String]",id,0
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/Vehicle.java,creational.builder.Vehicle$VehicleBuilder,"VehicleBuilder/2[java.lang.String,int]",engine,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/Vehicle.java,creational.builder.Vehicle$VehicleBuilder,"VehicleBuilder/2[java.lang.String,int]",wheel,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/builder/Vehicle.java,creational.builder.Vehicle$VehicleBuilder,setAirbags/1[int],airbags,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWorkImpl.java,creational.prototype.HomeWorkImpl,copyHomeWork/1[creational.prototype.HomeWork],homeWork,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWorkImpl.java,creational.prototype.HomeWorkImpl,"HomeWorkImpl/2[int,java.lang.String]",homeWork,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWorkImpl.java,creational.prototype.HomeWorkImpl,"HomeWorkImpl/2[int,java.lang.String]",id,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWorkImpl.java,creational.prototype.HomeWorkImpl,setId/1[int],id,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWorkImpl.java,creational.prototype.HomeWorkImpl,"doHomeWork/2[int,java.lang.String]",homeWork,2
/home/x1/Desktop/ass/ass16/design-patterns-master/src/creational/prototype/HomeWorkImpl.java,creational.prototype.HomeWorkImpl,"doHomeWork/2[int,java.lang.String]",id,2
