file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ChangePassword.java,ChangePassword,"doPost/2[HttpServletRequest,HttpServletResponse]",false,11,5,1,0,1,3,20,36,0,9,2,20,0,0,0,0,1,0,22,3,10,0,2,0,0,0,39,1,0,false
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,"doPost/2[HttpServletRequest,HttpServletResponse]",false,13,5,1,0,1,6,23,49,0,14,2,23,0,0,2,1,1,1,7,18,18,0,4,0,0,0,39,1,0,false
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/NewUser1.java,NewUser1,"doPost/2[HttpServletRequest,HttpServletResponse]",false,10,4,1,0,1,3,15,48,0,13,2,15,0,0,0,0,1,0,26,6,13,0,2,0,0,0,52,1,0,false
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ViewProducts.java,ViewProducts,"doGet/2[HttpServletRequest,HttpServletResponse]",false,11,4,1,0,1,4,10,33,0,7,2,10,0,0,1,0,1,0,15,7,15,8,3,0,0,0,42,1,0,false
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/GetProductImage.java,GetProductImage,"doGet/2[HttpServletRequest,HttpServletResponse]",false,11,4,1,0,1,2,12,19,0,6,2,12,0,0,0,0,1,0,4,1,7,0,1,0,0,0,28,1,0,false
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/GetProductType.java,GetProductType,"doGet/2[HttpServletRequest,HttpServletResponse]",false,11,3,1,0,1,3,7,15,0,5,2,7,0,0,1,0,1,0,3,1,6,1,2,0,0,0,25,1,0,false
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ForgotPassword.java,ForgotPassword$Anonymous1,getPasswordAuthentication/0,false,45,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/p1/DB_Connection.java,p1.DB_Connection,get_DBConnection/0,false,12,0,28,28,0,2,3,11,1,1,0,3,0,0,0,0,1,0,4,0,2,0,1,0,0,0,10,9,0,false
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/PlaceOrder.java,PlaceOrder$Anonymous1,getPasswordAuthentication/0,false,156,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ViewOrders.java,ViewOrders,"doGet/2[HttpServletRequest,HttpServletResponse]",false,11,4,1,0,1,6,15,52,0,10,2,15,0,0,2,1,1,0,35,10,25,14,4,0,0,0,55,1,0,false
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/Feedback.java,Feedback,"doGet/2[HttpServletRequest,HttpServletResponse]",false,11,4,1,0,1,2,13,24,0,8,2,13,0,0,0,0,1,0,9,4,8,0,1,0,0,0,39,1,0,false
