file,class,method,variable,usage
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ChangePassword.java,ChangePassword,"doPost/2[HttpServletRequest,HttpServletResponse]",res,4
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ChangePassword.java,ChangePassword,"doPost/2[HttpServletRequest,HttpServletResponse]",rs,2
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ChangePassword.java,ChangePassword,"doPost/2[HttpServletRequest,HttpServletResponse]",rd,3
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ChangePassword.java,ChangePassword,"doPost/2[HttpServletRequest,HttpServletResponse]",con,2
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ChangePassword.java,ChangePassword,"doPost/2[HttpServletRequest,HttpServletResponse]",pst1,7
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ChangePassword.java,ChangePassword,"doPost/2[HttpServletRequest,HttpServletResponse]",e,1
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ChangePassword.java,ChangePassword,"doPost/2[HttpServletRequest,HttpServletResponse]",pw,1
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ChangePassword.java,ChangePassword,"doPost/2[HttpServletRequest,HttpServletResponse]",oldpassword,1
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ChangePassword.java,ChangePassword,"doPost/2[HttpServletRequest,HttpServletResponse]",hs,2
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ChangePassword.java,ChangePassword,"doPost/2[HttpServletRequest,HttpServletResponse]",newpassword,1
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ChangePassword.java,ChangePassword,"doPost/2[HttpServletRequest,HttpServletResponse]",req,13
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,"doPost/2[HttpServletRequest,HttpServletResponse]",res,2
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,"doPost/2[HttpServletRequest,HttpServletResponse]",p1,3
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,"doPost/2[HttpServletRequest,HttpServletResponse]",con,1
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,"doPost/2[HttpServletRequest,HttpServletResponse]",ch,2
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,"doPost/2[HttpServletRequest,HttpServletResponse]",e,1
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,"doPost/2[HttpServletRequest,HttpServletResponse]",pw,1
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,"doPost/2[HttpServletRequest,HttpServletResponse]",values,8
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,"doPost/2[HttpServletRequest,HttpServletResponse]",i1,1
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,"doPost/2[HttpServletRequest,HttpServletResponse]",i,2
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,"doPost/2[HttpServletRequest,HttpServletResponse]",is,3
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,"doPost/2[HttpServletRequest,HttpServletResponse]",j,2
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,"doPost/2[HttpServletRequest,HttpServletResponse]",type,3
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,"doPost/2[HttpServletRequest,HttpServletResponse]",sb,2
